X,  Y
6.23675e-05, 0.00101051
0.000182278, 0.00290591
0.00155812, 0.0118304
0.00381592, 0.018995
0.00447831, 0.0205632
0.0127872, 0.036035
0.0253651, 0.0513587
0.0259088, 0.0518854
0.0279883, 0.0538308
0.0424672, 0.0654128
0.0480577, 0.0691203
0.0485634, 0.0694369
0.050675, 0.0707276
0.064113, 0.0779268
0.0715482, 0.0813392
0.0774248, 0.0838371
0.078624, 0.0843302
0.087663, 0.0879065
0.093383, 0.0900403
0.114565, 0.0970166
0.118356, 0.0981184
0.133801, 0.102205
0.138333, 0.10329
0.14328, 0.104418
0.14533, 0.104869
0.146052, 0.105026
0.153231, 0.10652
0.176803, 0.110648
0.183489, 0.111607
0.230507, 0.115917
0.24557, 0.116548
0.250746, 0.1167
0.268102, 0.117008
0.299927, 0.116989
0.30764, 0.116913
0.32216, 0.116706
0.334927, 0.116449
0.365092, 0.115524
0.395122, 0.114092
0.3978, 0.113936
0.415443, 0.112796
0.420816, 0.11241
0.423979, 0.112174
0.42913, 0.111777
0.441407, 0.110768
0.453104, 0.109727
0.453909, 0.109653
0.478, 0.107267
0.487944, 0.106198
0.495369, 0.105369
0.496376, 0.105255
0.508398, 0.103854
0.544239, 0.0992931
0.558148, 0.097368
0.562266, 0.0967815
0.595912, 0.0917039
0.605646, 0.0901407
0.607141, 0.0898971
0.612927, 0.0889444
0.617212, 0.0882297
0.652404, 0.0820801
0.673927, 0.0780903
0.693929, 0.0742425
0.709572, 0.0711467
0.72079, 0.0688814
0.732447, 0.0664878
0.742256, 0.0644424
0.746134, 0.0636258
0.751414, 0.0625069
0.783718, 0.0554831
0.794932, 0.0529739
0.797288, 0.052442
0.816234, 0.0481078
0.838389, 0.0429121
0.852976, 0.0394177
0.882651, 0.0321356
0.884065, 0.0317831
0.888782, 0.0306031
0.905521, 0.0263707
0.912099, 0.0246882
0.916851, 0.023466
0.918272, 0.0230994
0.918431, 0.0230584
0.927027, 0.0208289
0.941707, 0.0169754
0.949443, 0.0149208
0.967722, 0.0100056
0.980092, 0.00664242
0.980774, 0.00645632
0.981119, 0.00636219
0.983568, 0.00569378
0.986761, 0.00482125
0.995803, 0.00234749
0.997481, 0.00188816
0.9988, 0.0015271
0.998951, 0.00148575
0.999377, 0.00136928
0.99962, 0.00130276
0.999705, 0.00127939
0.999879, 0.00123162
