X,  Y
6.23675e-05, 0.000320536
6.23675e-05, -0.000689978
0.000182278, 0.000926786
0.000182278, -0.00197912
0.00155812, 0.00493196
0.00155812, -0.00689845
0.00381592, 0.0086727
0.00381592, -0.0103223
0.00447831, 0.00956111
0.00447831, -0.0110021
0.0127872, 0.0186372
0.0127872, -0.0173978
0.0253651, 0.0297123
0.0253651, -0.0216463
0.0259088, 0.0301199
0.0259088, -0.0217654
0.0279883, 0.0316297
0.0279883, -0.0222011
0.0424672, 0.0404723
0.0424672, -0.0249405
0.0480577, 0.0433346
0.0480577, -0.0257857
0.0485634, 0.043582
0.0485634, -0.0258549
0.050675, 0.0445963
0.050675, -0.0261313
0.064113, 0.0504556
0.064113, -0.0274712
0.0715482, 0.0533549
0.0715482, -0.0279843
0.0774248, 0.0555147
0.0774248, -0.0283223
0.078624, 0.0559434
0.078624, -0.0283868
0.087663, 0.0590615
0.087663, -0.028845
0.093383, 0.0609327
0.093383, -0.0291076
0.114565, 0.0671792
0.114565, -0.0298374
0.118356, 0.0681908
0.118356, -0.0299276
0.133801, 0.0720208
0.133801, -0.0301845
0.138333, 0.073062
0.138333, -0.0302279
0.14328, 0.0741586
0.14328, -0.0302596
0.14533, 0.0746013
0.14533, -0.0302681
0.146052, 0.0747555
0.146052, -0.0302705
0.153231, 0.0762434
0.153231, -0.0302766
0.176803, 0.0805526
0.176803, -0.0300949
0.183489, 0.0816129
0.183489, -0.0299937
0.230507, 0.08709
0.230507, -0.0288266
0.24557, 0.0882192
0.24557, -0.0283289
0.250746, 0.0885518
0.250746, -0.0281485
0.268102, 0.0894905
0.268102, -0.0275176
0.299927, 0.0906782
0.299927, -0.0263107
0.30764, 0.0908934
0.30764, -0.0260192
0.32216, 0.0912297
0.32216, -0.0254762
0.334927, 0.0914447
0.334927, -0.0250041
0.365092, 0.0916219
0.365092, -0.0239018
0.395122, 0.0912801
0.395122, -0.0228115
0.3978, 0.0912222
0.3978, -0.0227142
0.415443, 0.0907256
0.415443, -0.0220708
0.420816, 0.0905357
0.420816, -0.0218743
0.423979, 0.0904157
0.423979, -0.0217585
0.42913, 0.0902076
0.42913, -0.0215698
0.441407, 0.0896491
0.441407, -0.0211191
0.453104, 0.0890379
0.453104, -0.0206891
0.453909, 0.0889931
0.453909, -0.0206595
0.478, 0.0874948
0.478, -0.0197723
0.487944, 0.0867918
0.487944, -0.0194059
0.495369, 0.0862364
0.495369, -0.0191324
0.496376, 0.0861592
0.496376, -0.0190953
0.508398, 0.0852011
0.508398, -0.0186529
0.544239, 0.0819574
0.544239, -0.0173357
0.558148, 0.0805429
0.558148, -0.0168252
0.562266, 0.0801074
0.562266, -0.016674
0.595912, 0.0762646
0.595912, -0.0154393
0.605646, 0.0750586
0.605646, -0.0150821
0.607141, 0.0748699
0.607141, -0.0150272
0.612927, 0.0741296
0.612927, -0.0148148
0.617212, 0.0735722
0.617212, -0.0146575
0.652404, 0.0687149
0.652404, -0.0133652
0.673927, 0.0655158
0.673927, -0.0125746
0.693929, 0.0624027
0.693929, -0.0118399
0.709572, 0.0598814
0.709572, -0.0112653
0.72079, 0.0580281
0.72079, -0.0108533
0.732447, 0.0560626
0.732447, -0.0104252
0.742256, 0.0543774
0.742256, -0.010065
0.746134, 0.0537032
0.746134, -0.00992253
0.751414, 0.0527783
0.751414, -0.00972863
0.783718, 0.0469408
0.783718, -0.00854227
0.794932, 0.0448434
0.794932, -0.00813043
0.797288, 0.0443981
0.797288, -0.0080439
0.816234, 0.0407598
0.816234, -0.0073481
0.838389, 0.0363776
0.838389, -0.00653448
0.852976, 0.033419
0.852976, -0.00599876
0.882651, 0.0272267
0.882651, -0.00490894
0.884065, 0.0269261
0.884065, -0.00485703
0.888782, 0.0259193
0.888782, -0.00468379
0.905521, 0.0223017
0.905521, -0.00406905
0.912099, 0.0208608
0.912099, -0.00382746
0.916851, 0.0198131
0.916851, -0.00365295
0.918272, 0.0194986
0.918272, -0.00360075
0.918431, 0.0194635
0.918431, -0.00359492
0.927027, 0.0175497
0.927027, -0.00327922
0.941707, 0.0142353
0.941707, -0.0027401
0.949443, 0.0124648
0.949443, -0.002456
0.967722, 0.00822082
0.967722, -0.00178476
0.980092, 0.00531188
0.980092, -0.00133054
0.980774, 0.00515084
0.980774, -0.00130548
0.981119, 0.00506938
0.981119, -0.00129281
0.983568, 0.00449091
0.983568, -0.00120287
0.986761, 0.00373568
0.986761, -0.00108557
0.995803, 0.00159405
0.995803, -0.000753438
0.997481, 0.00119635
0.997481, -0.00069181
0.9988, 0.000883733
0.9988, -0.000643371
0.998951, 0.000847931
0.998951, -0.000637823
0.999377, 0.000747079
0.999377, -0.000622197
0.99962, 0.000689487
0.99962, -0.000613274
0.999705, 0.000669252
0.999705, -0.000610138
0.999879, 0.000627889
0.999879, -0.00060373
